iter	Passed	Remaining
829	4176	855
830	4180	850
831	4186	845
832	4191	840
833	4195	835
834	4200	829
835	4204	824
836	4208	819
837	4212	814
838	4216	809
839	4219	803
840	4224	798
841	4228	793
842	4233	788
843	4237	783
844	4241	778
845	4245	772
846	4249	767
847	4253	762
848	4258	757
849	4262	752
850	4267	747
851	4271	741
852	4275	736
853	4279	731
854	4283	726
855	4288	721
856	4292	716
857	4296	711
858	4300	705
859	4305	700
860	4310	695
861	4315	690
862	4320	685
863	4325	680
864	4329	675
865	4334	670
866	4339	665
867	4344	660
868	4347	655
869	4352	650
870	4356	645
871	4361	640
872	4364	634
873	4369	629
874	4373	624
875	4377	619
876	4381	614
877	4386	609
878	4390	604
879	4394	599
880	4398	594
881	4403	589
882	4407	583
883	4411	578
884	4415	573
885	4418	568
886	4423	563
887	4427	558
888	4431	553
889	4435	548
890	4439	543
891	4443	537
892	4446	532
893	4451	527
894	4455	522
895	4460	517
896	4463	512
897	4467	507
898	4471	502
899	4474	497
900	4477	492
901	4481	486
902	4485	481
903	4488	476
904	4492	471
905	4497	466
906	4500	461
907	4503	456
908	4508	451
909	4511	446
910	4515	441
911	4519	436
912	4523	431
913	4527	426
914	4532	421
915	4537	416
916	4540	411
917	4545	405
918	4549	400
919	4552	395
920	4556	390
921	4560	385
922	4564	380
923	4568	375
924	4573	370
925	4577	365
926	4580	360
927	4584	355
928	4589	350
929	4593	345
930	4597	340
931	4601	335
932	4605	330
933	4609	325
934	4614	320
935	4618	315
936	4622	310
937	4626	305
938	4631	300
939	4637	295
940	4641	291
941	4645	286
942	4649	281
943	4653	276
944	4658	271
945	4662	266
946	4666	261
947	4670	256
948	4674	251
949	4679	246
950	4682	241
951	4686	236
952	4690	231
953	4694	226
954	4699	221
955	4703	216
956	4707	211
957	4712	206
958	4716	201
959	4720	196
960	4725	191
961	4729	186
962	4733	181
963	4738	176
964	4742	172
965	4747	167
966	4752	162
967	4758	157
968	4764	152
969	4770	147
970	4775	142
971	4780	137
972	4785	132
973	4791	127
974	4797	123
975	4801	118
976	4807	113
977	4812	108
978	4817	103
979	4823	98
980	4829	93
981	4834	88
982	4840	83
983	4845	78
984	4850	73
985	4855	68
986	4860	64
987	4865	59
988	4871	54
989	4876	49
990	4882	44
991	4887	39
992	4892	34
993	4898	29
994	4905	24
995	4910	19
996	4916	14
997	4922	9
998	4927	4
999	4932	0
